PMR;625
Place de l'Église;598
Crédit Mutuel de Bretagne;483
Sentier Côtier;436
Canal de Nantes à Brest;432
Ligne de Paris-Montparnasse à Brest;376
Rue du Stade;324
Rue de la Fontaine;284
Mairie;281
Rue de la Gare;278
Rue de Rennes;267
Rue des Écoles;259
Rue de la Mairie;242
Rue de l'Église;228
Non Visible;224
Ligne de Savenay à Landerneau;219
Rue du Général de Gaulle;218
Rue des Genêts;214
Place de la Mairie;204
Rue des Bruyères;187
Défibrillateur;174
Crédit Agricole;172
Rue Théodore Botrel;168
Rue des Ajoncs;161
Calvaire;156
Intermarché;153
Rue du Port;152
Route de Brest;147
Rue des Lilas;147
Bellevue;145
Rue du 19 Mars 1962;138
Rue des Chênes;138
Rue Jacques Cartier;134
Rue de la Libération;132
Rue du Calvaire;131
Rue des Peupliers;122
Bel Air;120
Rue de Brest;117
Rue de la Forge;117
Lavoir;117
Rue Pasteur;116
Avenue du Général de Gaulle;116
Rue des Camélias;115
Cimetière;113
Rue de Bellevue;112
La Vilaine;112
Rue Jean Jaurès;111
Rue Jean Moulin;110
Rue des Hortensias;107
Rue du Moulin;107
Le Blavet;105
Rue du Verger;104
Rue Victor Hugo;104
Halage Canal Nantes à Brest;104
Rue de Verdun;101
Bourg;101
Église Saint-Pierre;99
Rue Anatole Le Braz;99
Rue Jules Ferry;98
Rue Chateaubriand;98
Canal d'Ille-et-Rance;98
Rue Jules Verne;97
Rue du Presbytère;97
Rue Ernest Renan;93
Rue de l'École;93
Rue Xavier Grall;92
Rue des Primevères;90
Rue des Tilleuls;88
Lidl;88
Rue de la Poste;88
Rue du Lavoir;88
L'Oust;87
Rue du Château;86
Monument aux Morts;85
Rue de Paris;85
Rue des Acacias;85
Rue de Saint-Malo;83
Rue des Mésanges;83
Rue des Châtaigniers;83
Rue du Manoir;83
Rue Laënnec;83
Rue du Château d'Eau;82
Voie verte de la Rigole d'Hilvern;82
Place de la République;82
Rue des Mimosas;82
Rue de la Paix;81
Kernevez;81
Rue Surcouf;80
Rue Charles Le Goffic;79
Rue de la Chapelle;78
Kerjean;77
Rue des Mouettes;77
Super U;77
Rue Pierre Loti;77
Rue des Pins;77
La Touche;77
L'Aulne;76
Rue Nationale;76
Rue Louis Pasteur;76
Rue des Rosiers;75
Boulevard de l'Europe;74
Le Cosquer;73
La Gare;73
Rue de la Résistance;72
Rue de Brocéliande;72
Rue de l'Étang;72
Rue Éric Tabarly;71
Rue du Four;70
Rue Duguesclin;70
Rue des Jonquilles;70
Le Bourg;70
